title,author,series,position,subgenre,spice,fave,rating
Consider Me,Becka Mack,Playing For Keeps,1,Romance,0,,3.5
Play With Me,Becka Mack,Playing For Keeps,2,Romance,0,yes,0
Unravel Me,Becka Mack,Playing For Keeps,3,Romance,0,,0
Fall With Me,Becka Mack,Playing For Keeps,4,Romance,0,,0
Breathe With Me,Becka Mack,,5,Romance,0,,0
Love and Other Killers,Brynne Weaver,,3,Dark Romance,0,,0
Kingfisher's POV,Callie Hart,,0,Romantasy,0,,4.0
Crush,Tracy Wolff,,2,Romance,0,,0
Covet,Tracy Wolff,,3,Romance,0,,0
Court,Tracy Wolff,,4,Romance,0,,0
Hexed,Emily McIntire,,6,Dark Romance,0,,0
Caught Up (Paperback),Navessa Allen,,1,Dark Romance,0,,0
Lights Out,Navessa Allen,Into Darkness,2,Dark Romance,5,,0
The Ever King,L.J. Andrews,Ever Seas Series,1,Romantasy,4,,0
The Ever Queen,L.J. Andrews,The Ever Seas,2,Romantasy,0,,0
From Blood and Ash,Jennifer L. Armentrout,Blood and Ash,1,Romantasy,4,yes,0
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Blood and Ash,2,Romantasy,0,,0
The Crown of Gilded Bones,Jennifer L. Armentrout,,3,Romantasy,0,,0
The War of Two Queens,Jennifer L. Armentrout,Blood and Ash,4,Romantasy,0,,0
A Soul of Ash and Blood,Jennifer L. Armentrout,Blood and Ash,5,Romantasy,4,,0
The Primal of Blood and Bone,Jennifer L. Armentrout,Blood and Ash,6,Romantasy,0,,0
The Fine Print,Lauren Asher,Dreamland Billionaires,1,Romance,4,,0
Terms and Conditions,Lauren Asher,Dreamland Billionaires,2,Romance,4,,0
Final Offer,Lauren Asher,Dreamland Billionaires,3,Romance,4,,0
This Will Be Fun,E.B. Asher,,,Romantasy,0,,0
Empire of Flame and Thorns,Marion Blackwood,,1,Romantasy,0,,0
Throne of Ice and Blood,Marion Blackwood,,2,Romantasy,0,,0
Court of Lies and Deceit,Marion Blackwood,Flame and Throns,3,Romantasy,0,,0
Realm of Wind and Vines,Marion Blackwood,Flame and Throns,4,Romantasy,0,,0
